representative_group_key,representative_exercise_id,stable_code,representative_role,representative_selection_basis,display_name_before,display_name_after,identity_decision_code,identity_review_status,identity_review_codes,location_codes,home_default_recommendation,gym_default_recommendation,representative_location_separation,review_required
canonical:abs_core_brace_core_brace_mat,REX-000001,abs_core_brace_core_brace_mat,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,누워서 복부 수축하기,누워서 복부 수축하기,IDENTITY_RETAINED,RETAINED,[],"[""HOME""]",ELIGIBLE,NOT_ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:quadruped_quadriceps_stretch_mobility_stretch_bodyweight,REX-000002,quadruped_quadriceps_stretch_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,쿼드러펫 락백,네발기기 대퇴사두근 스트레칭,LABEL_REFINED,REFINED_APPLIED,"[""DISPLAY_NAME_VARIANT_DESCRIPTOR_REVIEWED""]","[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:ankle_circles_mobility_stretch_bodyweight,REX-000003,ankle_circles_mobility_stretch_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,발목 돌리기,발목 돌리기,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:barbell_deadlift_hip_dominant_barbell,REX-000004,barbell_deadlift_hip_dominant_barbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,데드리프트,데드리프트,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:barbell_front_raise_isolation_barbell,REX-000005,barbell_front_raise_isolation_barbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,프론트 레이즈,프론트 레이즈,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:barbell_pullover_isolation_barbell,REX-000006,barbell_pullover_isolation_barbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,풀오버,풀오버,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:barbell_straight_leg_deadlift_hip_dominant_barbell,REX-000007,barbell_straight_leg_deadlift_hip_dominant_barbell,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,루마니안 데드리프트,루마니안 데드리프트,IDENTITY_RETAINED,RETAINED,[],"[""GYM""]",NOT_ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:bodyweight_back_extension_hip_dominant_bodyweight,REX-000008,bodyweight_back_extension_hip_dominant_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,백 익스텐션,백 익스텐션,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:bodyweight_crunch_core_brace_bodyweight,REX-000009,bodyweight_crunch_core_brace_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,크런치,크런치,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
canonical:bodyweight_forward_lunge_knee_dominant_bodyweight,REX-000010,bodyweight_forward_lunge_knee_dominant_bodyweight,CANONICAL_REPRESENTATIVE,EXISTING_CANONICAL_REPRESENTATIVE_RETAINED,포워드 런지,포워드 런지,IDENTITY_RETAINED,RETAINED,[],"[""HOME"",""GYM""]",ELIGIBLE,ELIGIBLE,LOCATION_DEFAULT_IS_SEPARATE_FROM_REPRESENTATIVE_IDENTITY,False
